Name,File,Link,Genre,Audio quality
AC/DC - Capital Centre 1981,acdc-capital-centre-1981,https://www.youtube.com/watch?v=uXVas4bUbsg,Hard Rock,Bad
AC/DC - Munich 2001,acdc-munich-2001,https://www.youtube.com/watch?v=SUR8ZIjLKFg,Hard Rock,Good
Adele - Royal Albert Hall 2011,adele-royal-albert-hall-2011,https://www.youtube.com/watch?v=u-BVyhgh23o,Pop,Good
B.B. King - A Blues Session 1987,b-b-king-a-blues-session-1987,https://www.youtube.com/watch?v=yOSnUmLt5VQ,Blues,Average
Beatles - Atlanta Stadium 1965,beatles-atlanta-stadium-1965,https://www.youtube.com/watch?v=ze1Lb-xgrvU,Rock and Roll,Bad
CHVRCHES - Glastonbury 2016,chvrches-glastonbury-2016,https://www.youtube.com/watch?v=nyH-5lfp2M8,Synth-pop,Good
Code Orange - The Electric Factory 2014,code-orange-the-electric-factory-2014,https://www.youtube.com/watch?v=Gv2pZptU3H0,Hardcore,Good
Coldplay - Toronto 2006,coldplay-toronto-2006,https://www.youtube.com/watch?v=B_Zbwm4hrRM,Pop Rock,Good
Eminem - Reading Festival 2017,eminem-reading-festival-2017,https://www.youtube.com/watch?v=RdQ-0swmshY,Hip Hop,Good
Katy Perry - Big Weekend 2017,katy-perry-big-weekend-2017,https://www.youtube.com/watch?v=w5iAdHiNdok,Pop,Good
Metallica - Moscow 1991,metallica-moscow-1991,https://www.youtube.com/watch?v=4CT5X4ehE8Q,Heavy Metal,Good
Michael Jackson - Rome 1988,michael-jackson-rome-1988,https://www.youtube.com/watch?v=NrnWlr62E5c,Pop,Average
Nails - This is Hardcore 2013,nails-this-is-hardcoore-2013,https://www.youtube.com/watch?v=tg5K42gfbh8,Hardcore,Good
System of a Down - Lowlands 2001,system-of-a-down-lowlands-2001,https://www.youtube.com/watch?v=Jwl4DfdtkSw,Alternative Metal,Average
Punch - The First Unitarian Church 2011,punch-the-first-unitarian-church-2011,https://www.youtube.com/watch?v=pAVop3aWNx4,Hardcore,Average
Wu-Tang Clan - Hultsfreds Festival 1997,wu-tang-clan-hultsfreds-festival-1997,https://www.youtube.com/watch?v=8h3DVexHKXI,Hip Hop,Average
